Id,Predicted
0, 4.44
1, 4.99
2, 4.24
3, 4.93
4, 5.01
5, 5.20
6, 4.44
7, 4.96
8, 4.96
9, 5.20
10, 5.24
11, 4.22
12, 4.96
13, 4.27
14, 5.01
15, 5.26
16, 4.99
17, 4.22
18, 5.25
19, 4.99
20, 4.96
21, 5.33
22, 4.44
23, 4.24
24, 4.96
25, 4.98
26, 4.25
27, 4.24
28, 5.25
29, 4.93
30, 4.39
31, 4.92
32, 5.27
33, 4.96
34, 4.63
35, 4.24
36, 5.27
37, 5.27
38, 4.43
39, 4.95
40, 5.25
41, 5.28
42, 4.98
43, 4.22
44, 5.26
45, 5.27
46, 5.25
47, 5.02
48, 4.41
49, 4.41
50, 4.98
51, 5.01
52, 5.20
53, 4.26
54, 5.21
55, 4.26
56, 4.32
57, 4.96
58, 5.28
59, 5.25
60, 4.44
61, 4.96
62, 5.20
63, 5.01
64, 5.27
65, 5.22
66, 4.96
67, 4.96
68, 5.22
69, 5.24
70, 4.44
71, 4.96
72, 4.97
73, 4.96
74, 5.26
75, 5.27
76, 4.44
77, 5.25
78, 4.96
79, 4.99
80, 5.26
81, 4.23
82, 4.44
83, 4.98
84, 4.27
85, 5.26
86, 4.27
87, 5.24
88, 5.23
89, 5.27
90, 5.24
91, 4.96
92, 4.96
93, 4.49
94, 5.01
95, 4.96
96, 5.28
97, 5.25
98, 5.30
99, 5.26
100, 4.27
101, 4.96
102, 5.04
103, 5.25
104, 4.41
105, 4.27
106, 4.21
107, 4.24
108, 4.96
109, 4.44
110, 5.22
111, 4.99
112, 4.90
113, 5.25
114, 4.22
115, 4.44
116, 4.27
117, 5.28
118, 4.98
119, 4.92
120, 5.20
121, 5.22
122, 4.32
123, 4.32
124, 4.40
125, 4.98
126, 4.37
127, 4.40
128, 5.26
129, 5.30
130, 5.03
131, 4.96
132, 5.20
133, 4.99
134, 4.96
135, 4.98
136, 4.99
137, 5.20
138, 5.27
139, 4.22
140, 5.26
141, 5.27
142, 4.96
143, 5.27
144, 5.01
145, 4.22
146, 5.25
147, 4.96
148, 5.02
149, 5.20
150, 5.21
151, 4.96
152, 5.20
153, 5.20
154, 4.27
155, 5.24
156, 5.22
157, 4.27
158, 5.25
159, 5.25
160, 4.44
161, 5.24
162, 5.28
163, 5.22
164, 4.39
165, 5.24
166, 4.99
167, 4.44
168, 4.99
169, 5.25
170, 4.53
171, 4.96
172, 5.25
173, 4.27
174, 4.27
175, 4.41
176, 4.38
177, 5.22
178, 4.27
179, 4.94
180, 5.25
181, 4.98
182, 4.98
