# Id,Predicted
0, 0.25
1, 0.12
2, 0.38
3, 0.55
4, 0.93
5, 0.40
6, 0.43
7, 0.56
8, 0.58
9, 0.42
10, 0.38
11, 0.38
12, 0.58
13, 0.63
14, 0.90
15, 0.89
16, 0.85
17, 0.43
18, 0.65
19, 0.31
20, 0.34
21, 0.85
22, 0.58
23, 0.34
24, 0.38
25, 0.39
26, 0.66
27, 0.63
28, 0.65
29, 0.63
30, 0.34
31, 0.31
32, 0.46
33, 0.45
34, 0.47
35, 0.50
36, 0.34
37, 0.38
38, 0.33
39, 0.89
40, 0.41
41, 0.52
42, 0.42
43, 0.33
44, 0.62
45, 0.64
46, 0.64
47, 0.17
48, 0.58
49, 0.39
50, 0.20
51, 0.39
52, 0.36
53, 0.32
54, 0.24
55, 0.57
56, 0.61
57, 0.50
58, 0.19
59, 0.62
60, 0.66
61, 0.35
62, 0.41
63, 0.84
64, 0.66
65, 0.37
66, 0.51
67, 0.36
68, 0.38
69, 0.35
70, 0.44
71, 0.68
72, 0.85
73, 0.35
74, 0.16
75, 0.69
76, 0.66
77, 0.42
78, 0.31
79, 0.11
80, 0.41
81, 0.67
82, 0.34
83, 0.69
84, 0.43
85, 0.70
86, 0.36
87, 0.58
88, 0.60
89, 0.69
90, 0.34
91, 0.91
92, 0.39
93, 0.59
94, 0.67
95, 0.35
96, 0.43
97, 0.35
98, 0.68
99, 0.33
100, 0.40
101, 0.40
102, 0.37
103, 0.46
104, 0.42
105, 0.55
106, 0.33
107, 0.53
108, 0.56
109, 0.46
110, 0.37
111, 0.39
112, 0.25
113, 0.42
114, 0.60
115, 0.61
116, 0.41
117, 0.64
118, 0.16
119, 0.61
120, 0.13
121, 0.57
122, 0.34
123, 0.56
124, 0.61
125, 0.16
126, 0.43
127, 0.45
128, 0.68
129, 0.58
130, 0.38
131, 0.58
132, 0.41
133, 0.32
134, 0.37
135, 0.68
136, 0.45
137, 0.21
138, 0.36
139, 0.75
140, 0.63
141, 0.59
142, 0.44
143, 0.90
144, 0.69
145, 0.65
146, 0.33
147, 0.35
148, 0.39
149, 0.23
150, 0.23
151, 0.90
152, 0.40
153, 0.26
154, 0.60
155, 0.45
156, 0.19
157, 0.66
158, 0.41
159, 0.52
160, 0.40
161, 0.64
162, 0.71
163, 0.17
164, 0.61
165, 0.37
166, 0.39
167, 0.59
168, 0.91
169, 0.31
170, 0.57
171, 0.37
172, 0.48
173, 0.49
174, 0.54
175, 0.63
176, 0.46
177, 0.13
178, 0.65
179, 0.34
180, 0.33
181, 0.62
182, 0.61
183, 0.57
184, 0.24
185, 0.37
186, 0.39
187, 0.36
188, 0.73
189, 0.66
190, 0.75
191, 0.59
192, 0.65
193, 0.62
194, 0.30
195, 0.36
196, 0.60
197, 0.67
198, 0.40
199, 0.13
200, 0.58
201, 0.52
202, 0.55
203, 0.60
204, 0.55
205, 0.31
206, 0.38
207, 0.55
208, 0.85
209, 0.40
210, 0.54
211, 0.42
212, 0.53
213, 0.57
214, 0.54
215, 0.63
216, 0.44
217, 0.37
218, 0.34
219, 0.41
220, 0.40
221, 0.60
222, 0.50
223, 0.37
224, 0.36
225, 0.64
226, 0.55
227, 0.83
228, 0.67
229, 0.58
230, 0.14
231, 0.40
232, 0.59
233, 0.53
234, 0.19
235, 0.19
236, 0.60
237, 0.40
238, 0.66
239, 0.55
240, 0.56
241, 0.68
242, 0.38
243, 0.40
244, 0.64
245, 0.31
246, 0.46
247, 0.72
248, 0.35
249, 0.37
250, 0.90
251, 0.60
252, 0.64
253, 0.16
254, 0.56
255, 0.43
256, 0.41
257, 0.64
258, 0.64
259, 0.59
260, 0.10
261, 0.12
262, 0.39
263, 0.68
264, 0.38
265, 0.42
266, 0.33
267, 0.70
268, 0.61
269, 0.33
270, 0.40
271, 0.66
272, 0.62
273, 0.36
274, 0.52
275, 0.72
276, 0.62
277, 0.11
278, 0.57
279, 0.48
280, 0.70
281, 0.55
282, 0.94
283, 0.54
284, 0.44
285, 0.48
286, 0.43
287, 0.61
288, 0.89
289, 0.38
290, 0.41
291, 0.27
292, 0.89
293, 0.60
294, 0.38
295, 0.37
296, 0.45
297, 0.59
298, 0.41
299, 0.34
300, 0.63
301, 0.36
302, 0.53
303, 0.36
304, 0.33
305, 0.66
306, 0.35
307, 0.64
308, 0.65
309, 0.37
310, 0.42
311, 0.34
312, 0.92
313, 0.30
314, 0.40
315, 0.61
316, 0.63
317, 0.74
318, 0.30
319, 0.12
320, 0.50
321, 0.69
322, 0.42
323, 0.38
324, 0.51
325, 0.60
326, 0.69
327, 0.54
328, 0.55
329, 0.38
330, 0.18
331, 0.37
332, 0.40
333, 0.37
334, 0.91
335, 0.42
336, 0.54
337, 0.34
338, 0.40
339, 0.64
340, 0.37
341, 0.36
342, 0.51
343, 0.13
344, 0.92
345, 0.41
346, 0.41
347, 0.56
348, 0.37
349, 0.46
350, 0.57
351, 0.49
352, 0.69
353, 0.52
354, 0.33
355, 0.66
356, 0.37
357, 0.13
358, 0.60
359, 0.34
360, 0.33
361, 0.46
362, 0.39
363, 0.44
364, 0.64
365, 0.65
366, 0.66
367, 0.59
368, 0.38
369, 0.14
370, 0.29
371, 0.78
372, 0.66
373, 0.42
374, 0.57
375, 0.70
376, 0.34
377, 0.60
378, 0.62
379, 0.34
380, 0.37
381, 0.42
382, 0.40
383, 0.41
384, 0.41
385, 0.54
386, 0.13
387, 0.54
388, 0.36
389, 0.40
390, 0.64
391, 0.63
392, 0.45
393, 0.36
394, 0.39
395, 0.41
396, 0.70
397, 0.36
398, 0.36
399, 0.79
400, 0.41
401, 0.72
402, 0.39
403, 0.42
404, 0.26
405, 0.69
406, 0.41
407, 0.35
408, 0.60
409, 0.54
410, 0.39
411, 0.31
412, 0.60
413, 0.39
414, 0.37
415, 0.52
416, 0.33
417, 0.61
418, 0.37
419, 0.59
420, 0.44
421, 0.71
422, 0.57
423, 0.69
424, 0.93
425, 0.70
426, 0.35
427, 0.74
428, 0.92
429, 0.15
430, 0.62
431, 0.68
432, 0.43
433, 0.40
434, 0.66
435, 0.38
436, 0.59
437, 0.37
438, 0.39
439, 0.16
440, 0.86
441, 0.37
442, 0.50
443, 0.55
444, 0.42
445, 0.59
446, 0.68
447, 0.15
448, 0.60
449, 0.61
450, 0.37
